,id,name,price,url,category_name,Размер,Материал,Цвет,Класс,Набор,Подсветка,Вес,Объем упаковки,Страна производства,Страна бренда
0,24,"Елочная игрушка Енотик Дэнни 9 см, подвеска",1580.0,/goods/elochnaya-igrushka-enotik-djenni-9-sm-podveska/,Животные,S (7-14 см),Полистоун,шоколадный / коричневый,премиум,Нет,Нет,0.1,0.0003,Китай,Нидерланды
1,28,Елочная игрушка Бабочка Иви - Azure Wonders 10 см,970.0,/goods/elochnaya-igrushka-babochka-sharlotta-10-sm-podveska/,"Бабочки, Жучки",S (7-14 см),Пластик,бирюзовый,премиум,Нет,Нет,0.04,0.0003,Китай,Нидерланды
2,33,"Елочная игрушка Christmas Bakery - Лошадка 9 см, подвеска",340.0,/goods/elochnaya-igrushka-christmas-bakery-loshadka-9-sm-podveska/,Символ года 2026,S (7-14 см),Керамика / Фарфор,красный / бордовый,стандарт,Нет,Нет,0.04,0.0002,Китай,Нидерланды
3,38,Елочная игрушка Цветок Jasmia 28 см,1610.0,/goods/elochnaya-igrushka-cvetok-jasmia-28-sm-rozovaya-podveska/,Цветы,M (15-30 см),Текстиль,розовый,премиум,Нет,Нет,0.02,0.0004,Таиланд,Бельгия
4,44,"Елочная игрушка Эльф Анри - Помощник Санты 12 см, подвеска",2620.0,/goods/elochnaya-igrushka-jelf-anri---pomoshhnik-santy-12-sm-podveska/,Гномы и Эльфы,S (7-14 см),Полистоун,красный / бордовый,премиум,Нет,Нет,0.09,0.0004,Китай,Бельгия
5,55,"Деревянная елочная игрушка Котёнок Квиррелл в новогоднем колпачке 8 см, подвеска",240.0,/goods/derevyannaya-elochnaya-igrushka-kotyonok-kvirrell-v-novogodnem-kolpachke-8-sm-podveska/,Животные,S (7-14 см),Дерево,белый,стандарт,Нет,Нет,0.02,0.0001,Китай,Германия
7,63,"Елочная игрушка Птичка Colibri De Cristal 11 см, подвеска",730.0,/goods/elochnaya-igrushka-ptichka-colibri-de-cristal-11-sm-podveska/,Птицы,S (7-14 см),Акрил,желтый / оранжевый,стандарт,Нет,Нет,0.66,0.001,Китай,Россия
8,64,Декоративная фигура Патриша Блеквуд в тигровом платье 47 см,1460.0,/goods/dekorativnaya-figura-patrisha-blekvud-v-tigrovom-plate-47-sm/,Люди,L (31-50 см),Текстиль,шоколадный / коричневый,стандарт,Нет,Нет,0.13,0.0014,Китай,Нидерланды
9,70,"Елочная игрушка Снежинка - Savolle Bow 12 см, подвеска",280.0,/goods/elochnaya-igrushka-snezhinka-alkore--12-sm/,Снежинки,S (7-14 см),Акрил,белый,стандарт,Нет,Нет,0.04,0.0003,Китай,Нидерланды
10,77,"Набор стеклянных елочных игрушек Колокольчики Флер 8 см, 12 шт",3600.0,/goods/nabor-dlya-deleniya-061479/,Колокольчики,S (7-14 см),Стекло,кремовый / светлое дерево,премиум,Да,Нет,0.72,0.0119,Китай,Нидерланды
11,78,Бант на елку Sparkle Style шампань,350.0,/goods/bant-na-elku-sparkle-style-22x20-sm-shampan/,Банты на елку,M (15-30 см),Текстиль,золото,стандарт,Нет,Нет,0.07,0.0011,Китай,Россия
12,79,Бант на елку Feira золотой,240.0,/goods/bant-na-elku-feira-24-sm-zolotoj/,Банты на елку,M (15-30 см),Текстиль,золото,стандарт,Нет,Нет,0.04,0.0019,Китай,Нидерланды
14,90,"Стеклянная елочная игрушка Хамелеон Геллерт с Аравийского полуострова 17 см, подвеска",1760.0,/goods/steklyannaya-elochnaya-igrushka-hameleon-gellert-s-aravijskogo-poluostrova-podveska/,Животные,M (15-30 см),Стекло,кремовый / светлое дерево,премиум,Нет,Нет,0.09,0.0012,Польша,Польша
15,91,Елочная игрушка Единорог Эльфин - Лориэнский Лес 13 см бирюзовая,1810.0,/goods/elochnaya-igrushka-edinorog-jelfin---lorijenskij-les-13-sm-biryuzovaya-podveska/,Животные,S (7-14 см),Полистоун,синий / голубой,премиум,Нет,Нет,0.07,0.0006,Китай,Нидерланды
16,92,"Набор елочных игрушек Christmas Puppies 10 см, 2 шт",880.0,/goods/nabor-elochnyh-igrushek-christmas-puppies-10-sm-2-sht-podveska/,Животные,S (7-14 см),Полистоун,шоколадный / коричневый,стандарт,Да,Нет,0.22,0.0004,Китай,Нидерланды
17,93,Елочная игрушка Кот Девон-рекс на софе 9 см,1980.0,/goods/elochnaya-igrushka-kot-reks-na-sofe-8-sm/,Животные,S (7-14 см),Полистоун,красный / бордовый,премиум,Нет,Нет,0.11,0.0005,Китай,Нидерланды
18,94,Елочная игрушка Ежик Дэнни в жилетке 8 см,1590.0,/goods/elochnaya-igrushka-ezhik-djenni-v-zhiletke-8-sm-podveska/,Животные,S (7-14 см),Полистоун,шоколадный / коричневый,премиум,Нет,Нет,0.11,0.0002,Китай,Нидерланды
19,95,"Елочная игрушка Олень Гвен - Crimson Silver Ice 12 см, подвеска",1790.0,/goods/elochnaya-igrushka-olen-gven---crimson-silver-ice-12-sm-podveska/,Животные,S (7-14 см),Полистоун,серебро,премиум,Нет,Нет,0.07,0.0005,Китай,Нидерланды
20,103,"Набор елочных игрушек Пряничные Мишки 6 см, 2 шт, подвеска",420.0,/goods/elochnaya-igrushka-pryanichnyj-mishka-norbert-6-sm-so-snegovichkom-podveska/,Животные,XS (до 6 см),Полистоун,шоколадный / коричневый,стандарт,Да,Нет,0.11,0.0003,Китай,Германия
21,115,"Елочная игрушка Эльф Шарлот - В гостях у Санты 14 см, подвеска",2350.0,/goods/elochnaya-igrushka-jelf-sharlot---v-gostyah-u-santy-14-sm-podveska/,Гномы и Эльфы,S (7-14 см),Полистоун,красный / бордовый,премиум,Нет,Нет,0.12,0.0005,Китай,Бельгия
22,116,"Набор елочных игрушек Гномы - Сказочный Оркестр 10 см, 3 шт, подвеска",3660.0,/goods/nabor-elochnyh-igrushek-gnomy---skazochnyj-orkestr-10-sm-3-sht-podveska/,Гномы и Эльфы,S (7-14 см),Полистоун,красный / бордовый,премиум,Да,Нет,0.21,0.0006,Китай,Бельгия
23,119,Стеклянная елочная игрушка Aquarelle 14 см,2270.0,/goods/steklyannaya-elochnaya-igrushka-aquarelle-14-sm-podveska/,Миниатюры,S (7-14 см),Стекло,белый,премиум,Нет,Нет,0.06,0.0003,Китай,Бельгия
24,124,"Елочная игрушка Ангел Сюзи 11 см, подвеска",920.0,/goods/elochnaya-igrushka-angel-syuzi-11-sm-podveska/,Ангелы и Феи,S (7-14 см),Текстиль,серый,стандарт,Нет,Нет,0.08,0.0006,Китай,Германия
25,125,"Елочная игрушка Гном Корнеил - Хранитель леса Триллемарк 20 см, подвеска",710.0,/goods/elochnaya-igrushka-gnom-korneil---hranitel-lesa-trillemark-20-sm-podveska/,Персонажи сказок,M (15-30 см),Текстиль,красный / бордовый,стандарт,Нет,Нет,0.04,0.0009,Китай,Нидерланды
26,126,"Набор елочных игрушек Cezanne Nochevieja 10 см, 4 шт, подвеска",4080.0,/goods/nabor-elochnyh-igrushek-cezanne-nochevieja-10-sm-4-sht-podveska/,"Дед Мороз, Снегурочка и Снеговик",S (7-14 см),Керамика / Фарфор,разноцветные,премиум,Да,Нет,0.44,0.0028,Китай,Италия
27,127,"Декоративный светильник Звезда Apeldoorn Story - Зимнее веселье 14 см, на батарейках",1150.0,/goods/dekorativnyj-svetilnik-zvezda-apeldoorn-story---zimnee-vesele-14-sm-na-batarejkah/,Звездочки,S (7-14 см),Дерево,кремовый / светлое дерево,стандарт,Нет,Да,0.09,0.0005,Китай,Нидерланды
29,131,Декоративная фигура Мадам Прюденс в кремовом платье 47 см,1460.0,/goods/dekorativnaya-figura-madam-pryudens-v-kremovom-plate-47-sm/,Люди,L (31-50 см),Текстиль,кремовый / светлое дерево,стандарт,Нет,Нет,0.11,0.0024,Китай,Нидерланды
30,140,"Набор стеклянных елочных игрушек Шишки 6 см янтарный mix, 12 шт",560.0,/goods/nabor-steklyannyh-elochnyh-igrushek-shishki-6-sm-yantarnyj-mix-12-sht-podveska/,Шишки и желуди,XS (до 6 см),Стекло,желтый / оранжевый,стандарт,Да,Нет,0.07,0.0006,Китай,Нидерланды
31,142,"Елочная игрушка Doppiato Bells розовое золото, подвеска",820.0,/goods/elochnaya-igrushka-doppiato-bells-rozovoe-zoloto-podveska/,Колокольчики,S (7-14 см),Пластик,золото,премиум,Нет,Нет,0.09,0.0003,Китай,Нидерланды
32,144,Бант на елку Bianco Diamanti белый,240.0,/goods/bant-na-elku-bianco-diamanti-22-sm-serebryanyj/,Банты на елку,M (15-30 см),Текстиль,белый,стандарт,Нет,Нет,0.04,0.0011,Китай,Италия
33,147,"Стеклянная елочная игрушка Снегурочка 13 см, подвеска",670.0,/goods/steklyannaya-elochnaya-igrushka-snegurochka-13-sm-podveska/,"Дед Мороз, Снегурочка и Снеговик",S (7-14 см),Стекло,синий / голубой,стандарт,Нет,Нет,0.04,0.0008,Россия,Россия
34,149,"Стеклянная елочная игрушка Санта Клаус - Чудо Фламандского Двора 18 см, подвеска",7920.0,/goods/steklyannaya-elochnaya-igrushka-santa-klaus---chudo-flamandskogo-dvora-18-sm-podveska/,"Дед Мороз, Снегурочка и Снеговик",M (15-30 см),Стекло,красный / бордовый,премиум,Нет,Нет,0.26,0.006,Китай,Нидерланды
35,161,Стеклянная елочная игрушка Улитка Бетти 8 см бирюзовая,1210.0,/goods/steklyannaya-elochnaya-igrushka-ulitka-betti-8-sm-biryuzovaya-podveska/,"Бабочки, Жучки",S (7-14 см),Стекло,бирюзовый,премиум,Нет,Нет,0.03,0.0002,Китай,Нидерланды
36,162,Елочная игрушка Волшебный Чайник 8 см бирюзовая,1590.0,/goods/elochnaya-igrushka-volshebnyj-chajnik-8-sm-biryuzovaya-podveska/,Домики,S (7-14 см),Полистоун,бирюзовый,премиум,Нет,Нет,0.08,0.0004,Китай,Нидерланды
37,175,Елочная игрушка Цветок Kathleen - Caramel Sunset 10 см,840.0,/goods/elochnaya-igrushka-ochre---cvetok-kathleen-10-sm-podveska/,Цветы,S (7-14 см),Пластик,шоколадный / коричневый,премиум,Нет,Нет,0.03,0.0004,Китай,Нидерланды
38,183,"Стеклянная елочная игрушка Советский Паровоз 7 см, подвеска",1180.0,/goods/steklyannaya-elochnaya-igrushka-sovetskij-parovoz-7-sm-podveska/,"Паровозы, машинки",S (7-14 см),Стекло,черный,стандарт,Нет,Нет,0.08,0.0013,Россия,Россия
39,186,"Стеклянная елочная игрушка Волшебный Сапожок Шарля Перро 12 см голубой, подвеска",1740.0,/goods/steklyannaya-elochnaya-igrushka-volshebnyj-sapozhok-sharlya-perro-12-sm-goluboj-podveska/,Миниатюры,S (7-14 см),Стекло,синий / голубой,премиум,Нет,Нет,0.07,0.0007,Китай,Нидерланды
40,189,Елочная игрушка Снеговик Декарт в шапочке 15*10 см,400.0,/goods/elochnaya-igrushka-snegovik-dekart-v-shapochke-15x10-sm/,"Дед Мороз, Снегурочка и Снеговик",M (15-30 см),Текстиль,белый,стандарт,Нет,Нет,0.07,0.0013,Китай,Нидерланды
41,191,"Светящаяся елочная игрушка Снеговик 10 см, на батарейке, RGB, подвеска",550.0,/goods/svetyashheesya-ukrashenie-snegovik-10-sm-1-rgb-svetodiod-batarejki-podveska/,"Дед Мороз, Снегурочка и Снеговик",S (7-14 см),Пластик,разноцветные,стандарт,Нет,Да,0.11,0.0004,Китай,Россия
44,196,Декоративная фигура Мадам Прюденс в платье шампань 47 см,1460.0,/goods/dekorativnaya-figura-madam-pryudens-v-plate-shampan-47-sm/,Люди,L (31-50 см),Текстиль,кремовый / светлое дерево,стандарт,Нет,Нет,0.11,0.0024,Китай,Нидерланды
45,200,Стеклянная елочная игрушка Зодиак - Цирковая Лошадка 10 см золотая,920.0,/goods/steklyannaya-elochnaya-igrushka-zodiak---cirkovaya-loshadka-zolotaya/,Символ года 2026,S (7-14 см),Стекло,золото,стандарт,Нет,Нет,0.07,0.0005,Россия,Россия
46,202,"Набор стеклянных елочных игрушек Snowy Twist 30 см, 3 шт",2700.0,/goods/nabor-steklyannyh-elochnyh-igrushek-snowy-twist-30-sm-3-sht/,Сосульки,M (15-30 см),Стекло,золото,премиум,Да,Нет,0.12,0.001,Китай,Бельгия
47,207,"Набор елочных игрушек Колокольчики Angers 9 см, 3 шт, подвеска",1380.0,/goods/nabor-elochnyh-igrushek-kolokolchiki-angers-9-sm-3-sht-podveska/,Колокольчики,S (7-14 см),Керамика / Фарфор,красный / бордовый,стандарт,Да,Нет,0.55,0.003,Китай,Нидерланды
48,209,Декоративный бант Luxury Christmas 23*20 см серебряный,370.0,/goods/dekorativnyj-bant-luxury-christmas-23x20-sm-serebryanyj/,Банты на елку,M (15-30 см),Текстиль,серебро,стандарт,Нет,Нет,0.07,0.0024,Китай,Нидерланды
49,214,"Стеклянная елочная игрушка Дед Мороз с Магическим Посохом 22 см, подвеска",3170.0,/goods/steklyannaya-elochnaya-igrushka-ded-moroz-s-magicheskim-posohom-22-sm-podveska/,"Дед Мороз, Снегурочка и Снеговик",M (15-30 см),Стекло,синий / голубой,премиум,Нет,Нет,0.1,0.0017,Китай,Нидерланды
50,216,"Елочная игрушка Фея Дилана на птице 11 см, подвеска",1930.0,/goods/elochnaya-igrushka-feya-dilana-na-ptice-11-sm-podveska/,Ангелы и Феи,S (7-14 см),Полистоун,золото,премиум,Нет,Нет,0.09,0.0004,Китай,Бельгия
51,217,"Елочная игрушка Enchante Foresta: Фея 10 см, подвеска",1980.0,/goods/elochnaya-igrushka-enchante-foresta-feya-mivian-na-ptichke-10-sm-podveska/,Ангелы и Феи,S (7-14 см),Полистоун,кремовый / светлое дерево,премиум,Нет,Нет,0.09,0.0003,Китай,Бельгия
52,220,Стеклянная елочная игрушка Олень в шарфике - Christmas Periple 12 см,2060.0,/goods/steklyannaya-elochnaya-igrushka-olen-v-sharfike---christmas-periple-12-sm-podveska/,Животные,S (7-14 см),Стекло,кремовый / светлое дерево,премиум,Нет,Нет,0.07,0.0009,Китай,Италия
53,224,"Елочная игрушка Буйвол - Antique Genre 12 см, подвеска",280.0,/goods/elochnaya-igrushka-bujvol---antique-genre-12-sm-podveska/,Животные,S (7-14 см),Пластик,шоколадный / коричневый,стандарт,Нет,Нет,0.02,0.0003,Китай,Нидерланды
54,229,"Набор елочных игрушек Домики городка Эшвилл 6 см, 3 шт, подвеска",990.0,/goods/nabor-elochnyh-igrushek-domiki-gorodka-jeshvill-6-sm-3-sht-podveska/,Домики,XS (до 6 см),Полистоун,разноцветные,стандарт,Да,Нет,0.22,0.0005,Китай,Нидерланды
55,242,"Набор елочных игрушек Flower Glow 25 см, 4 шт, подвеска",980.0,/goods/nabor-elochnyh-igrushek-flower-glow-25-sm-4-sht-podveska/,Цветы,M (15-30 см),Пластик,розовый,стандарт,Да,Нет,0.07,0.0005,Китай,Нидерланды
56,245,"Елочная игрушка Эльф Каи с волшебным посохом 15 см, подвеска",1300.0,/goods/elochnaya-igrushka-jelf-kai-s-volshebnym-posohom-15-sm-podveska/,Персонажи сказок,M (15-30 см),Полистоун,золото,премиум,Нет,Нет,0.04,0.0005,Китай,Италия
57,254,"Елочная игрушка Добрый Санта 14 см, подвеска",270.0,/goods/elochnaya-igrushka-dobryj-santa-14-sm-podveska/,"Дед Мороз, Снегурочка и Снеговик",S (7-14 см),Пластик,красный / бордовый,эконом,Нет,Нет,0.03,0.0007,Китай,Россия
58,255,Деревянная елочная игрушка Пряничек - Пряничные Истории 10 см,200.0,/goods/derevyannaya-elochnaya-igrushka-pryanichek---pryanichnye-istorii-10-sm/,"Пряники, конфеты, сладости",S (7-14 см),Дерево,кремовый / светлое дерево,стандарт,Нет,Нет,0.01,0.0001,Россия,Россия
59,256,"Елочная игрушка Птичка Колибри Гестия 13 см розовое золото, 2 шт, клипса",780.0,/goods/elochnaya-igrushka-ptichka-kolibri-gestiya-13-sm-rozovoe-zoloto-2-sht-klipsa/,Птицы,S (7-14 см),Перья,розовый,стандарт,Да,Нет,0.03,0.003,Китай,Нидерланды
60,257,"Елочная игрушка Малышка Тимми 9 см, подвеска",220.0,/goods/elochnaya-igrushka-malyshka-timi-9-sm-podveska/,Текстильные игрушки,S (7-14 см),Текстиль,красный / бордовый,стандарт,Нет,Нет,0.02,0.0003,Китай,Нидерланды
61,258,"Набор елочных игрушек Теплое Рождество 8 см, 3 шт, подвеска",1680.0,/goods/nabor-elochnyh-igrushek-teploe-rozhdestvo-8-sm-3-sht-podveska/,Звездочки,S (7-14 см),Керамика / Фарфор,белый,премиум,Да,Нет,0.11,0.0001,Китай,Италия
62,262,"Елочная игрушка Снежинка - Mystery Winter 12 см перламутровая, подвеска",540.0,/goods/elochnaya-igrushka-snezhinka-mystery-winter-12-sm-perlamutrovaya-podveska/,Снежинки,S (7-14 см),Акрил,прозрачный,стандарт,Нет,Нет,0.06,0.0003,Китай,Россия
63,263,Декоративная фигура Леди Холливелл на джазовой вечеринке 47 см,1500.0,/goods/dekorativnaya-figura-ledi-hollivell-na-dzhazovoj-vecherinke-47-sm/,Люди,XL (51-80 см),Текстиль,розовый,стандарт,Нет,Нет,0.13,0.0024,Китай,Нидерланды
64,265,"Набор стеклянных елочных игрушек Сердце Монплезира 4.5 см красный mix, 12 шт",470.0,/goods/nabor-steklyannyh-elochnyh-igrushek-serdce-monplezira-45-sm-krasnyj-mix-12-sht-podveska/,Сердечки,XS (до 6 см),Стекло,красный / бордовый,стандарт,Да,Нет,0.04,0.0005,Китай,Россия
65,267,"Декоративная нить Mirele 2.7 м, серебряная",260.0,/goods/dekorativnaya-nit-mirele-27-m-serebryanaya/,Крючки и подставки для украшений,XXL (81 см и более),Текстиль,серебро,стандарт,Нет,Нет,0.04,0.0004,Китай,Нидерланды
66,269,"Елочная игрушка Снежинка - Ледяная мелодия 10 см, подвеска",490.0,/goods/elochnaya-igrushka-snezhinka-ledyanaya-melodiya-10-sm-podveska/,Снежинки,S (7-14 см),Акрил,прозрачный,стандарт,Нет,Нет,0.02,0.0001,Китай,Россия
67,275,"Стеклянная елочная игрушка Колокольчик Ягодка 11 см, подвеска",900.0,/goods/steklyannaya-elochnaya-igrushka-kolokolchik-yagodka-10-sm-podveska/,Колокольчики,S (7-14 см),Стекло,серебро,стандарт,Нет,Нет,0.02,0.0008,Россия,Россия
68,281,"Стеклянная ёлочная игрушка Санта из Жемчужного царства 17 см, подвеска",2990.0,/goods/steklyannaya-yolochnaya-igrushka-santa-iz-zhemchuzhnogo-carstva-17-sm-podveska/,"Дед Мороз, Снегурочка и Снеговик",M (15-30 см),Стекло,кремовый / светлое дерево,премиум,Нет,Нет,0.13,0.0024,Китай,Бельгия
69,282,Стеклянная елочная игрушка Санта с мешком подарков - Christmas Periple 14 см,2060.0,/goods/steklyannaya-elochnaya-igrushka-santa-s-meshkom-podarkov---christmas-periple-14-sm-podveska/,"Дед Мороз, Снегурочка и Снеговик",S (7-14 см),Стекло,красный / бордовый,премиум,Нет,Нет,0.09,0.001,Китай,Италия
70,283,Елочная игрушка Санта - Winter Baroque 12 см серебряная,3680.0,/goods/elochnaya-igrushka-santa---winter-baroque-12-sm-serebryanaya/,"Дед Мороз, Снегурочка и Снеговик",S (7-14 см),Полистоун,кремовый / светлое дерево,премиум,Нет,Нет,0.08,0.0009,Филиппины,Бельгия
71,284,Елочная игрушка Елочка из Тиволи - Winter Baroque 16 см,3180.0,/goods/elochnaya-igrushka-elochka-iz-tivoli---winter-baroque-16-sm/,Елочки,M (15-30 см),Полистоун,золото,премиум,Нет,Нет,0.07,0.0012,Филиппины,Бельгия
72,285,"Елочная игрушка Фея Талли из Страны Грез 16 см, подвеска",2070.0,/goods/elochnaya-igrushka-feya-talli-iz-strany-grez-16-sm-podveska/,Ангелы и Феи,M (15-30 см),Полистоун,белый,премиум,Нет,Нет,0.07,0.0004,Китай,Бельгия
73,292,"Елочная игрушка Олень Роджер с фруктовым венком 13 см, подвеска",1800.0,/goods/elochnaya-igrushka-olen-rodzher-s-fruktovym-venkom-13-sm-podveska/,Животные,S (7-14 см),Полистоун,шоколадный / коричневый,премиум,Нет,Нет,0.09,0.0005,Китай,Нидерланды
74,295,"Стеклянная елочная игрушка Снегирь Дариан 10 см, подвеска",750.0,/goods/steklyannaya-elochnaya-igrushka-snegir-darian-10-sm-podveska/,Птицы,S (7-14 см),Стекло,красный / бордовый,стандарт,Нет,Нет,0.04,0.0005,Россия,Россия
75,306,Искусственная ветка Цветущий Кизил 70 см,1680.0,/goods/iskusstvennaya-vetka-cvetushhij-kizil-70-sm/,Цветы,XL (51-80 см),Текстиль,фиолетовый,стандарт,Нет,Нет,0.09,0.0008,Таиланд,Россия
76,308,"Искусственный цветок Магнолия Folgaria 23 см лиловый, клипса",600.0,/goods/iskusstvennyj-cvetok-magnoliya-folgaria-23-sm-lilovyj-klipsa/,Цветы,M (15-30 см),Текстиль,фиолетовый,стандарт,Нет,Нет,0.07,0.003,Китай,Россия
77,318,Елочная игрушка Волшебный Чайник 8 см терракотовая,1590.0,/goods/elochnaya-igrushka-volshebnyj-chajnik-8-sm-terrakotovaya-podveska/,Домики,S (7-14 см),Полистоун,шоколадный / коричневый,премиум,Нет,Нет,0.08,0.0004,Китай,Нидерланды
78,323,Елочная игрушка Ангелок Элли Браун 9 см,360.0,/goods/elochnaya-igrushka-angelok-jelli-braun-9-sm/,Ангелы и Феи,S (7-14 см),Текстиль,кремовый / светлое дерево,стандарт,Нет,Нет,0.02,0.0005,Китай,Нидерланды
79,324,"Набор елочных игрушек Чашечка Мадам Люмер 5 см, 3 шт, подвеска",3630.0,/goods/nabor-elochnyh-igrushek-chashechka-madam-lyumer-5-sm-3-sht-podveska/,Миниатюры,XS (до 6 см),Керамика / Фарфор,розовый,премиум,Да,Нет,0.22,0.0011,Китай,Нидерланды
80,326,"Елочная игрушка Occhio di Ishtar 10 см, подвеска",1240.0,/goods/elochnaya-igrushka-occhio-di-ishtar-10-sm-podveska/,Игрушки на елку из бисера,S (7-14 см),Текстиль,зеленый,премиум,Нет,Нет,0.03,0.0001,Китай,Италия
82,329,"Елочная игрушка Павлин Роскошный 15 см прозрачный с золотым, подвеска",350.0,/goods/elochnaya-igrushka-pavlin-roskoshnyj-15-sm-prozrachnyj-s-zolotym-podveska/,Птицы,M (15-30 см),Акрил,золото,стандарт,Нет,Нет,0.03,0.0005,Китай,Россия
83,330,Декоративная фигура Патриша Блеквуд в леопардовом платье 47 см,1460.0,/goods/dekorativnaya-figura-patrisha-blekvud-v-leopardovom-plate-47-sm/,Люди,L (31-50 см),Текстиль,шоколадный / коричневый,стандарт,Нет,Нет,0.13,0.0014,Китай,Нидерланды
84,332,"Набор елочных игрушек Новогодние Медвежата 4 см, 6 шт",550.0,/goods/nabor-elochnyh-igrushek-novogodnie-medvezhata-4-sm-6-sht-podveska/,Животные,XS (до 6 см),Полистоун,шоколадный / коричневый,стандарт,Да,Нет,0.06,0.0002,Китай,Германия
85,335,Стеклянная елочная игрушка Лошадка Графини Роузбери 16 см,2560.0,/goods/steklyannaya-elochnaya-igrushka-loshadka-grafini-rouzberi-16-sm/,Символ года 2026,M (15-30 см),Стекло,шоколадный / коричневый,премиум,Нет,Нет,0.07,0.0012,Китай,Бельгия
87,342,"Декоративный бант Mariko 13*12 см шампань, 2 шт",250.0,/goods/dekorativnyj-bant-mariko-13-sm-shampan-2-sht/,Банты на елку,S (7-14 см),Текстиль,кремовый / светлое дерево,стандарт,Да,Нет,0.03,0.0019,Китай,Нидерланды
88,344,"Елочное украшение Сердце Murcia Rosado 10 см, подвеска",560.0,/goods/elochnoe-ukrashenie-serdce-murcia-rosado-10-sm-podveska/,Сердечки,S (7-14 см),Текстиль,розовый,премиум,Нет,Нет,0.02,0.0009,Китай,Нидерланды
89,346,Стеклянная елочная игрушка Дед Мороз - Прогулка по лесу Стельвио 18 см,8540.0,/goods/steklyannaya-elochnaya-igrushka-babbo-natale---progulka-po-lesu-stelvio-18-sm-podveska/,"Дед Мороз, Снегурочка и Снеговик",M (15-30 см),Стекло,фиолетовый,премиум,Нет,Нет,0.23,0.0057,Китай,Нидерланды
90,348,"Стеклянная елочная игрушка Снегурочка - Краса Ненаглядная 10 см, подвеска",940.0,/goods/steklyannaya-elochnaya-igrushka-snegurochka---krasa-nenaglyadnaya-10-sm-podveska/,"Дед Мороз, Снегурочка и Снеговик",S (7-14 см),Стекло,синий / голубой,стандарт,Нет,Нет,0.02,0.0005,Россия,Россия
91,349,"Елочная игрушка Дед Мороз - Midnight Glow 13 см, подвеска",1840.0,/goods/elochnaya-igrushka-santa-klaus-v-sinem-kaftane-13-sm-podveska/,"Дед Мороз, Снегурочка и Снеговик",S (7-14 см),Полистоун,синий / голубой,премиум,Нет,Нет,0.11,0.0004,Китай,Нидерланды
92,353,"Елочная игрушка Лошадка Дионна - Tartan Club 12 см, подвеска",4670.0,/goods/elochnaya-igrushka-loshadka-dionna---tartan-club-12-sm-podveska/,Символ года 2026,S (7-14 см),Полистоун,шоколадный / коричневый,премиум,Нет,Нет,0.07,0.0006,Филиппины,Бельгия
93,354,Стеклянная елочная игрушка Бык Рикардо из Долины Нарциссов 9 см,1420.0,/goods/steklyannaya-elochnaya-igrushka-byk-rikardo-iz-doliny-narcissov-9-sm-podveska/,Животные,S (7-14 см),Стекло,шоколадный / коричневый,премиум,Нет,Нет,0.09,0.0013,Китай,Нидерланды
94,356,"Стеклянная елочная игрушка Хамелеон Гилберт с Аравийского полуострова 17 см, подвеска",1760.0,/goods/steklyannaya-elochnaya-igrushka-hameleon-gilbert-s-aravijskogo-poluostrova-podveska/,Животные,M (15-30 см),Стекло,зеленый,премиум,Нет,Нет,0.11,0.0012,Польша,Польша
95,357,"Елочная игрушка Единорог Ганэль с розовыми крыльями 15 см, 2 шт, подвеска",550.0,/goods/elochnaya-igrushka-edinorog-ganjel-s-rozovymi-krylyami-15-sm-2-sht-podveska/,Животные,M (15-30 см),Акрил,розовый,стандарт,Да,Нет,0.15,0.0012,Китай,Нидерланды
96,358,Елочная игрушка Благородная Особа 8 см,950.0,/goods/elochnaya-igrushka-blagorodnaya-osoba-8-sm-podveska/,Животные,S (7-14 см),Полистоун,розовый,премиум,Нет,Нет,0.12,0.0003,Китай,Бельгия
97,360,"Коллекциия елочных игрушек Forest Adventures 12 см, подвеска",980.0,/goods/elochnaya-igrushka-ezhik-motti---forest-adventures-12-sm-podveska/,Животные,S (7-14 см),Полистоун,шоколадный / коричневый,премиум,Нет,Нет,0.11,0.0003,Китай,Италия
98,364,Стеклянная елочная игрушка Воробьиный Домик - Birds at Home 13 см,1930.0,/goods/steklyannaya-elochnaya-igrushka-vorobinyj-domik---birds-at-home-13-sm/,Птицы,S (7-14 см),Стекло,разноцветные,премиум,Нет,Нет,0.06,0.0007,Китай,Бельгия
99,368,"Набор елочных игрушек Лошадка-Качалка 10 см, 2 шт, подвеска",1160.0,/goods/nabor-elochnyh-igrushek-loshadka-kachalka-10-sm-2-sht-podveska/,Символ года 2026,S (7-14 см),Полистоун,белый,премиум,Да,Нет,0.07,0.0004,Китай,Италия
100,376,"Искусственный цветок Магнолия - Cesare Vente 18 см, клипса",1200.0,/goods/iskusstvennyj-cvetok-magnoliya---cesare-vente-18-sm-klipsa/,Цветы,M (15-30 см),Текстиль,розовый,премиум,Нет,Нет,0.1,0.0017,Таиланд,Россия
101,377,"Искусственный цветок Пионовидная Роза Arras 13 см розовый, клипса",290.0,/goods/iskusstvennyj-cvetok-pionovidnaya-roza-arras-13-sm-rozovyj-klipsa/,Цветы,S (7-14 см),Текстиль,розовый,стандарт,Нет,Нет,0.02,0.0009,Китай,Нидерланды
