,id,name,price,url,category_name,Размер,Материал,Цвет,Класс,Набор,Подсветка,Вес,Объем упаковки,Страна производства,Страна бренда
773,2489,"Елочная игрушка Корова Летиция 12 см, подвеска",170.0,/goods/elochnaya-igrushka-korova-leticiya-12-sm-podveska/,Животные,S (7-14 см),Полистоун,разноцветные,эконом,Нет,Нет,0.07,0.0002,Китай,Россия
774,2492,"Елочная игрушка Бабочка Viva Formosa 22 см, клипса",840.0,/goods/elochnaya-igrushka-babochka-viva-formosa-22-sm-klipsa/,"Бабочки, Жучки",M (15-30 см),Текстиль,кремовый / светлое дерево,премиум,Нет,Нет,0.03,0.001,Китай,Бельгия
775,2495,"Елочная игрушка Дама с Сумочкой 12 см, подвеска",440.0,/goods/elochnaya-igrushka-dama-s-sumochkoj-6x4x12-sm-podveska/,Люди,S (7-14 см),Полистоун,розовый,стандарт,Нет,Нет,0.11,0.0004,Китай,Россия
776,2500,Ветка Магнолии Patricia 75 см белая,1110.0,/goods/vetka-magnolii-patricia-75-sm-belaya/,Цветы,XL (51-80 см),Текстиль,белый,стандарт,Нет,Нет,0.04,0.0072,Китай,Нидерланды
777,2501,Искусственная ветка Dandelion Prime 80 см,1450.0,/goods/iskusstvennaya-vetka-dandelion-prime-80-sm/,Цветы,XL (51-80 см),Текстиль,белый,стандарт,Нет,Нет,0.04,0.0096,Китай,Нидерланды
778,2502,Искусственная орхидея Royal Ruby 67 см,610.0,/goods/iskusstvennaya-orhideya-royal-ruby-67-sm/,Цветы,XL (51-80 см),Полиэстер,красный / бордовый,стандарт,Нет,Нет,0.04,0.0045,Китай,Нидерланды
779,2505,Коллекционная кукла Эльф Аэльвин - Easter Egg Painter 46 см,24310.0,/goods/kollekcionnaya-kukla-jelf-ajelvin---easter-egg-painter-46-sm/,Гномы и Эльфы,XL (51-80 см),Текстиль,фиолетовый,премиум,Нет,Нет,1.1,0.0137,Китай,США
780,2506,Мухоморы на проволоке 24 шт красные с белым,390.0,/goods/muhomory-na-provoloke-24-sht/,Грибы,S (7-14 см),Пенополистирол,красный / бордовый,стандарт,Да,Нет,0.11,0.0014,Китай,Нидерланды
781,2508,"Елочная игрушка Сказочный Поезд 10 см, голубая, подвеска",180.0,/goods/elochnaya-igrushka-skazochnyj-poezd-10-sm-golubaya-podveska/,"Пряники, конфеты, сладости",S (7-14 см),Пластик,синий / голубой,эконом,Нет,Нет,0.03,0.0003,Китай,Россия
782,2513,"Винтажная елочная игрушка Снеговички 12 см, пластик, подвеска",215.0,/goods/plastikovaya-elochnaya-igrushka-snegovichki-vintazhnye-12-sm-podveska/,"Дед Мороз, Снегурочка и Снеговик",S (7-14 см),Пластик,серебро,эконом,Нет,Нет,0.03,0.0007,Китай,Россия
783,2522,"Елочная игрушка Снежинка - Парад Планет 13 см золотая с янтарем, подвеска",540.0,/goods/elochnoe-ukrashenie-snezhinka-parad-planet-13-sm-zoloto-s-yantarem-podveska/,Снежинки,S (7-14 см),Акрил,золото,стандарт,Нет,Нет,0.05,0.0009,Китай,Россия
784,2532,"Набор стеклянных елочных игрушек Пряники 6 см, 4 шт, подвеска",1290.0,/goods/nabor-steklyannyh-elochnyh-igrushek-pryaniki-6-sm-4-sht-podveska/,Сердечки,XS (до 6 см),Стекло,шоколадный / коричневый,стандарт,Да,Нет,0.13,0.0019,Россия,Россия
785,2535,"Стеклянная елочная игрушка Снеговик Хельми - Житель Винтертауна 14 см, подвеска",630.0,/goods/steklyannaya-elochnaya-igrushka-snegovik-helmi-zhitel-vintertauna-14-sm-podveska/,"Дед Мороз, Снегурочка и Снеговик",S (7-14 см),Стекло,разноцветные,стандарт,Нет,Нет,0.1,0.0011,Россия,Россия
786,2538,Елочная игрушка Ангелочек Моли 15 см,360.0,/goods/elochnaya-igrushka-angelochek-moli-15-sm-podveska/,Ангелы и Феи,M (15-30 см),Текстиль,белый,стандарт,Нет,Нет,0.03,0.001,Китай,Нидерланды
787,2541,"Стеклянная елочная игрушка-медальон Змея Долли 5 см зеленая, подвеска",390.0,/goods/steklyannaya-elochnaya-igrushka-medalon-zmeya-dolli-5-sm-zelenaya-podveska/,Животные,XS (до 6 см),Стекло,зеленый,стандарт,Нет,Нет,0.03,0.0011,Россия,Россия
788,2543,Елочная игрушка Кот Феликс - Christmas Cats 11 см,1840.0,/goods/elochnaya-igrushka-kot-feliks---christmas-cats-11-sm-podveska/,Животные,S (7-14 см),Искусственный мех,черный,премиум,Нет,Нет,0.04,0.0006,Китай,Нидерланды
789,2545,"Елочная игрушка Бельчонок Пит с подарком 8 см, подвеска",1210.0,/goods/elochnaya-igrushka-belchonok-pit-s-podarkom-8-sm-podveska/,Животные,S (7-14 см),Полистоун,кремовый / светлое дерево,премиум,Нет,Нет,0.1,0.0002,Китай,Нидерланды
790,2546,"Елочная игрушка Олень Филидель 10 см с золотыми рогами, подвеска",440.0,/goods/elochnaya-igrushka-olen-filidel-10-sm-s-zolotymi-rogami-podveska/,Животные,S (7-14 см),Акрил,золото,стандарт,Нет,Нет,0.1,0.0007,Китай,Нидерланды
791,2547,Елочная игрушка Олень Ларри - Caramel Sunset 15 см,840.0,/goods/elochnaya-igrushka-ochre---olen-larri-15-sm-podveska/,Животные,M (15-30 см),Пластик,золото,премиум,Нет,Нет,0.03,0.0005,Китай,Нидерланды
792,2549,Подвесное украшение Чудесное Рождение - Утенок Кря 7 см,1090.0,/goods/podvesnoe-ukrashenie-chudesnoe-rozhdenie---utenok-krya-7-sm/,Птицы,S (7-14 см),Полистоун,желтый / оранжевый,премиум,Нет,Нет,0.11,0.0002,Китай,Бельгия
793,2550,Елочная подвеска Райский Сад - Бабочка 18 см,560.0,/goods/elochnaya-podveska-rajskij-sad-babochka-18-sm/,Изысканные подвески,M (15-30 см),Акрил,золото,стандарт,Нет,Нет,0.03,0.0001,Тайвань,Нидерланды
794,2551,"Деревянная елочная игрушка Рождественский Домик с Оленем 13 см, подвеска",230.0,/goods/derevyannaya-elochnaya-igrushka-rozhdestvenskij-domik-s-olenem-13-sm-podveska/,Домики,S (7-14 см),Дерево,белый,стандарт,Нет,Нет,0.03,0.0005,Китай,Нидерланды
795,2559,Украшение Перец Чили 30 шт на проволоке,530.0,/goods/ukrashenie-perec-chili-30-sht-na-provoloke/,"Фрукты, овощи",S (7-14 см),Пенополистирол,красный / бордовый,стандарт,Да,Нет,0.07,0.0012,Китай,Нидерланды
796,2560,Искусственная ветка Фуджерра 84 см красная,1390.0,/goods/iskusstvennaya-vetka-fudzherra-84-sm-krasnaya/,Цветы,XXL (81 см и более),Текстиль,красный / бордовый,премиум,Нет,Нет,0.07,0.0065,Китай,Италия
797,2561,Ветка Магнолии белая 45 см,380.0,/goods/vetka-magnolii-belaya-45-sm/,Цветы,L (31-50 см),Текстиль,белый,стандарт,Нет,Нет,0.03,0.0045,Китай,Нидерланды
798,2562,"Роза Fleur Congelee заснеженная 10 см белая, клипса",180.0,/goods/roza-fleur-congelee-zasnezhennaya-10-sm-belaya-klipsa/,Цветы,S (7-14 см),Текстиль,белый,стандарт,Нет,Нет,0.11,0.0002,Китай,Россия
799,2563,"Искусственный цветок из перьев Dafne 12 см розовый, клипса",360.0,/goods/iskusstvennyj-cvetok-iz-perev-dafne-12-sm-rozovyj-klipsa/,Цветы,S (7-14 см),Перья,розовый,стандарт,Нет,Нет,0.03,0.0007,Китай,Нидерланды
800,2564,Ветка Магнолии Patricia 75 см розовая,1110.0,/goods/vetka-magnolii-patricia-75-sm-rozovaya/,Цветы,XL (51-80 см),Текстиль,розовый,стандарт,Нет,Нет,0.04,0.0072,Китай,Нидерланды
801,2568,Коллекционная кукла Эльф Марли из Долины Грации 33 см,11110.0,/goods/kollekcionnaya-kukla-jelf-marli-iz-doliny-gracii-33-sm/,Гномы и Эльфы,L (31-50 см),Текстиль,зеленый,премиум,Нет,Нет,0.67,0.0083,Китай,США
802,2576,Декоративная фигура Попугай Carnavalle Ruby 34 см,2140.0,/goods/dekorativnaya-figura-popugaj-carnavalle-ruby-34-sm/,Птицы,L (31-50 см),Текстиль,красный / бордовый,стандарт,Нет,Нет,0.09,0.0029,Китай,Нидерланды
803,2579,"Набор елочных игрушек Балерина Кирстен в серебряной пачке 15 см, 2 шт, подвеска",780.0,/goods/nabor-elochnyh-igrushek-balerina-kirsten-v-serebryanoj-pachke-15-sm-2-sht-podveska/,Балет,M (15-30 см),Акрил,серебро,стандарт,Да,Нет,0.07,0.0017,Китай,Нидерланды
804,2584,"Елочная игрушка Кисть Paulo 32 см красная, подвеска",720.0,/goods/elochnaya-igrushka-kist-paulo-32-sm-krasnaya-podveska/,Изысканные подвески,L (31-50 см),Текстиль,красный / бордовый,премиум,Нет,Нет,0.07,0.0001,Китай,Нидерланды
805,2585,"Елочная игрушка Шишка Элти 9 см розовая, 2 шт",260.0,/goods/elochnaya-igrushka-shishka-jelti-9-sm-bronza-2-sht-podveska/,Шишки и желуди,S (7-14 см),Пластик,розовый,стандарт,Да,Нет,0.02,0.0005,Китай,Нидерланды
